shipping_id,order_id,shipping_date,shipping_address,shipping_method
0,9593,2024-04-07,Address_0,Standard
1,15080,2024-04-14,Address_1,Express
2,2735,2024-03-25,Address_2,Express
3,1048,2024-01-26,Address_3,Standard
4,14233,2024-06-03,Address_4,Express
5,6305,2024-02-22,Address_5,Standard
6,10831,2024-05-25,Address_6,Standard
7,10594,2024-10-23,Address_7,Express
8,2478,2024-10-01,Address_8,Standard
9,10684,2024-04-07,Address_9,Express
10,11818,2024-05-26,Address_10,Express
11,10796,2024-02-08,Address_11,Express
12,4739,2024-04-16,Address_12,Standard
13,5653,2024-12-01,Address_13,Standard
14,11281,2024-02-27,Address_14,Express
15,9686,2024-10-21,Address_15,Express
16,17552,2024-01-29,Address_16,Express
17,17431,2024-08-03,Address_17,Standard
18,17272,2024-09-15,Address_18,Standard
19,13684,2024-11-06,Address_19,Standard
20,3761,2024-08-31,Address_20,Standard
21,1993,2024-11-10,Address_21,Express
22,8413,2024-02-23,Address_22,Express
23,5326,2024-04-07,Address_23,Standard
24,3259,2024-06-04,Address_24,Express
25,368,2024-01-09,Address_25,Standard
26,14498,2024-03-07,Address_26,Standard
27,8246,2024-01-16,Address_27,Standard
28,10301,2024-02-06,Address_28,Standard
29,6787,2024-05-19,Address_29,Standard
30,15988,2024-02-08,Address_30,Standard
31,6156,2024-03-31,Address_31,Standard
32,16860,2024-03-12,Address_32,Express
33,12092,2024-05-31,Address_33,Standard
34,10192,2024-05-06,Address_34,Express
35,15528,2024-02-29,Address_35,Express
36,12022,2024-05-19,Address_36,Standard
37,11202,2024-09-29,Address_37,Standard
38,12747,2024-09-03,Address_38,Standard
39,11023,2024-10-16,Address_39,Express
40,2746,2024-10-01,Address_40,Standard
41,7263,2024-04-17,Address_41,Express
42,16128,2024-12-26,Address_42,Express
43,10507,2024-08-17,Address_43,Express
44,7229,2024-10-22,Address_44,Express
45,10947,2024-09-25,Address_45,Standard
46,6076,2024-08-15,Address_46,Express
47,9258,2024-11-13,Address_47,Express
48,2453,2024-05-04,Address_48,Express
49,1311,2024-05-20,Address_49,Standard
50,7163,2024-12-27,Address_50,Express
51,8307,2024-08-21,Address_51,Standard
52,8306,2024-02-18,Address_52,Express
53,11502,2024-08-02,Address_53,Express
54,4305,2024-03-18,Address_54,Express
55,734,2024-03-17,Address_55,Express
56,9616,2024-09-30,Address_56,Standard
57,589,2024-10-19,Address_57,Express
58,11774,2024-08-24,Address_58,Standard
59,9544,2024-12-18,Address_59,Express
60,8506,2024-05-20,Address_60,Standard
61,10214,2024-07-08,Address_61,Standard
62,15556,2024-12-08,Address_62,Express
63,9247,2024-06-02,Address_63,Standard
64,5197,2024-01-01,Address_64,Express
65,17506,2024-12-27,Address_65,Express
66,2621,2024-06-24,Address_66,Standard
67,8334,2024-09-01,Address_67,Express
68,13585,2024-01-17,Address_68,Standard
69,15313,2024-06-04,Address_69,Standard
